Card Number|Card Name|Card Description|CO2|Money|Hope|Momentum|Super Positive Event|Super Negative Event|Negative Event Origin
ActionCardSection
1|Continue as usual|Just keep doing what we're doing. Live today as we lived yesterday... until we can't.|2|3|-1|0|0|0|0
2|Choose public transit|Public transit uses scale to reduce emissions. By taking cars off the road, you reduce city traffic and air pollution.|-2|0|0|0|0|0|0
3|Eat A Plant-rich Diet|Current food production pollutes our planet. Food-chain emissions could drop 70% if we eat vegan, 63% for vegetarian.|-2|0|0|1|0|0|0
4|Reduce Food Waste|The food we waste is responsible for roughly 8% of ALL our global emissions.|-1|1|0|0|0|0|0
5|Recycle A/C Units|Properly recycle A/C units. Refrigeration chemicals are 1000x more powerful than CO2 at warming the planet.|-2|0|0|0|0|0|0
6|Switch to Bamboo|Stop logging virgin forests for toilet paper. Bamboo is faster growing and produces softer hygiene products.|-1|0|0|0|0|0|0
7|Give Trash A New Life|Repurpose trash to make furniture. Making new products from old ones takes less energy and materials.|-1|1|1|0|0|0|0
8|Vote Climate|Depolarize climate, and vote for politicians who share your values, creating climate positive policies.|0|0|1|1|0|0|0
9|Make It Trendy|Use social media and personal influence to make climate cool again|0|1|1|1|0|0|0
10|Turn Prayer into Action|Unite places of worship around climate change to protect creation and those in poverty who are most affected.|0|1|1|1|0|0|0
11|Educate girls|Educate girls to participate in local economies, strengthen families, and fight climate change.|0|2|1|1|0|0|0
12|Improve Neighborhoods|Better align the location of housing, jobs and services to reduce driving and lower the cost of living.|-2|1|0|1|0|0|0
13|Build daycare for all ages|Create combined day care centers for elders and children, reconnect generations and use fewer resources.|-1|2|0|0|0|0|0
14|Have fewer children|With our current lifestyle, the more people on the planet, the more resources we use and the more carbon is released.|-2|2|0|0|0|0|0
15|Reverse Extinction|Bring back the woolly mammoth to keep permafrost methane frozen in place.|0|-2|1|1|0|0|0
17|Invest in community solar|Band together with your neighbors to share the costs and benefits of solar.|-1|-1|1|1|0|0|0
18|Sign up for renewable energy|Sign up for the renewable energy program through your electric utility.|0|0|1|1|0|0|0
19|Harness your farm's wind|Diversify your land use and your income with wind energy.|-2|-1|0|0|0|0|0
20|Offset Carbon Emissions|Invest in projects that mitigate the carbon released through other activities, like flying.|-2|1|0|1|0|0|0
21|Plant Trees|Restore forests in your area with native species. Trees breathe CO2 and exhale oxygen.|-2|0|1|1|0|0|0
28|Educate Universally Online|Create a global online school to educate everyone on how to care for themselves, their families, and the planet.|-2|2|1|1|0|0|0
29|Make All Vehicles Electric|Carbon emissions drop 50-95% using electric vehicles compared to gasoline-powered vehicles.|-3|1|0|0|0|0|0
30|Enact Carbon Taxes|Implement a global carbon tax on emissions. Economists can confirm, when something costs more, we use less of it.|-4|2|0|0|0|0|0
31|Invent new bio coolants|Replace super greenhouse gases with natural alternatives that keep us AND the planet cool.|-2|2|1|1|0|0|0
32|Solar-Powered Sky Ships|Travel and ship cargo with the sun instead of jet fuel.|-3|0|1|1|0|0|0
33|Make a Smarter Grid|Create a global energy grid with smart technology that is more efficient and is optimized for renewables.|-2|-2|1|0|0|0|0
34|Build a Bamboo Continent|Replace the great Pacific garbage patch with a floating forest of fast-growing, CO2-eating Bamboo.|-3|-2|1|1|0|0|0
35|Foster Ocean Farming|Small-scale farms with complimentary species provide biofuels and food while taking CO2 out of the oceans.|-2|2|0|1|0|0|0
38|Make Fuel from Algea|Replace liquid fossil fuels with living fuels, renewable, from algea|-2|2|0|1|0|0|0
39|Switch banks|Move your money to a bank that doesn't fund the fossil fuel industry|0|2|0|1|0|0|0
40|Retire on a Living Planet|Move your 401K investments into funds that promote sustainable companies|0|-3|1|1|0|0|0
41|Be an Angel Planet Investor|Invest in startups with promising new solutions to combate climate change|0|-3|1|1|0|0|0
42|Befriend your Representative|Encourage and support your elected officials in making climate-positive policy|0|0|0|1|0|0|0
43|Invest in Direct Air Capture|New technologies are being designed that suck the CO2 out of the air|-2|-2|0|1|0|0|0
44|Unite Employees|Work with your colleauges to influence your company to be more climate-friendly|0|2|1|1|0|0|0
45|Take it to court|Sue the government to ensure they take necessary action so you have a liveable future|-1|-2|0|1|0|0|0
46|Ditch School|Why learn if your future is so unsure? Leave school each month to talk to elected officials or take action|0|0|1|1|0|0|0
EventCardSection
73|Ocean Acidification||-2|0|0|0|0|0|
74|Fish Extinction!||0|-5|-1|0|0|1|Ocean Acidification
75|Volcanic Eruption||4|0|0|0|0|0|
76|Wildfires||2|-3|-1|0|0|0|
77|Earthquakes||1|-3|-1|0|0|0|
78|Hurricanes||0|-3|-1|0|0|0|
79|Sunny Days||0|0|0|0|0|0|
80|Super Volcano!||4|-4|-1|0|0|1|Volcanic Eruption
81|Ice Caps Melt!||3|-5|-1|0|0|0|
82|The Big One!||2|-4|-1|0|0|0|
83|Hypercane!||4|0|0|0|0|1|Hurricanes
84|Helpful Algae Bloom||-2|0|1|1|1|0|
85|Bio Burst||-2|0|1|1|1|0|
86|Aquifer Replenishment||0|2|1|1|1|0|
87|Forests Flourish Globally||-2|0|1|1|1|0|
88|Soil erosion||2|-2|-1|0|0|0|
